names,min_players,max_players,avg_time,year,avg_rating,image_url,age,category,designer
The City of Kings,1,4,180,2018,8.25234,https://cf.geekdo-images.com/original/img/6WZNgJarTTb1la1nFUJ7S_V3kgY=/0x0/pic3407111.png,14,"Adventure, Exploration, Fantasy, Fighting, Puzzle",Frank West
Unconditional Surrender! World War 2 in Europe,2,3,3000,2014,8.39375,https://cf.geekdo-images.com/original/img/7E6YKqwfEiupszND8BhrOsNXDPI=/0x0/pic1927033.jpg,14,"Wargame, World War II",Salvatore Vasta
World of Warcraft: The Boardgame,2,6,180,2005,6.62472,https://cf.geekdo-images.com/original/img/-OmJxgH7ho4BiTPChyJFM7yfS8Y=/0x0/pic756989.jpg,12,"Adventure, Fantasy, Fighting, Video Game Theme",Christian T. Petersen
Atlantic Star,2,6,60,2001,6.88889,https://cf.geekdo-images.com/original/img/t5TsBzrIFvyIsovw96SGbWsra_w=/0x0/pic318862.jpg,10,"Card Game, Nautical, Transportation",Dirk Henn
Battletech Introductory Box Set,2,6,120,2002,7.65653,https://cf.geekdo-images.com/original/img/vwi-GmpM83pLuw_D9kMODIih3b8=/0x0/pic1687157.jpg,14,"Fighting, Miniatures, Science Fiction, Wargame","L. Ross Babcock, III, Sam Lewis, Jordan Weisman"
The Red Dragon Inn,2,4,45,2007,6.56523,https://cf.geekdo-images.com/original/img/Z1Y2iQS_MgmPVVl7AjS_dIU42ec=/0x0/pic291048.jpg,13,"Card Game, Fantasy, Humor, Medieval, Party Game","Cliff Bohm, Geoff Bottone, Cold FuZion Studios, Colleen Skadl"
Wits & Wagers Family,3,10,20,2010,6.94531,https://cf.geekdo-images.com/original/img/c0aYB53Le1IkFMLYuAeXS4462gg=/0x0/pic664569.jpg,8,"Children's Game, Educational, Party Game, Trivia",Dominic Crapuchettes
Trans Europa,2,6,20,2005,6.65038,https://cf.geekdo-images.com/original/img/bJljjGASOtaL3-dk8GM13tVWV9U=/0x0/pic71968.jpg,8,Trains,Franz-Benno Delonge
Space Cadets,3,6,120,2012,6.65697,https://cf.geekdo-images.com/original/img/dHtDB2j1Qra9862RT452NKz1GUA=/0x0/pic1362404.jpg,8,"Action / Dexterity, Puzzle, Real-time, Science Fiction, Space Exploration","Brian Engelstein, Geoff Engelstein, Sydney Engelstein"
Viral,2,5,90,2017,7.16857,https://cf.geekdo-images.com/original/img/yIZde2ggUMpXQ30zAQLrSeUXXyM=/0x0/pic3399864.jpg,12,"Humor, Medical","Gil d'Orey, Antonio Sousa Lara"
The Bridges of Shangri-La,3,4,60,2003,6.77284,https://cf.geekdo-images.com/original/img/Wf6Yy6uZCUCyXmeK3RP7UBkcRoQ=/0x0/pic72217.jpg,10,"Abstract Strategy, Territory Building, Travel",Leo Colovini
Steam Time,2,4,90,2015,7.24716,https://cf.geekdo-images.com/original/img/RuG1HIyhmcUGmrb9UjKTLy9PoSo=/0x0/pic2602170.jpg,12,"Adventure, Economic",Rüdiger Dorn
Copycat,2,4,95,2012,6.8002,https://cf.geekdo-images.com/original/img/mACnXmJ7y9OoH1-7woM-mZOe1A8=/0x0/pic1425438.jpg,12,"Card Game, Political",Friedemann Friese
Paris Connection,3,6,30,2010,6.78132,https://cf.geekdo-images.com/original/img/RqioQzjuRSibpA_x_faVdSv94RA=/0x0/pic1266518.png,8,"Economic, Trains",David V. H. Peters
City of Horror,3,6,90,2012,6.7437,https://cf.geekdo-images.com/original/img/MAhZVijUcwO4iSwihF3NqYKhyuA=/0x0/pic1340620.jpg,13,"Horror, Negotiation, Zombies",Nicolas Normandon
Axis & Allies,2,5,180,1981,6.55553,https://cf.geekdo-images.com/original/img/8S8JHFSHQQEe67A64VEAsGluB5Q=/0x0/pic24006.jpg,12,"Economic, Wargame, World War II","Larry Harris, Jr."
Hardback,1,5,90,2018,7.55613,https://cf.geekdo-images.com/original/img/LJBDh3ZnPeBo7sf7Bm9pDUCK438=/0x0/pic3968823.jpg,10,"Card Game, Word Game","Jeff Beck (II), Tim Fowers"
BattleCON: Fate of Indines,2,2,15,2015,8.22365,https://cf.geekdo-images.com/original/img/3QTTgEY1V2hz8FAe931cAxgEwwc=/0x0/pic2555219.jpg,10,"Card Game, Fighting, Print & Play","D. Brad Talton, Jr."
Hit Z Road,1,4,60,2016,6.8424,https://cf.geekdo-images.com/original/img/UfGCLH2dxwHWQZYSCGQjv_f88fE=/0x0/pic3539855.jpg,12,"Fighting, Zombies",Martin Wallace
Hamsterrolle,2,4,30,2000,6.82546,https://cf.geekdo-images.com/original/img/FgRbCMLgV_bkom5fhg2R-60soZE=/0x0/pic1126660.jpg,7,Action / Dexterity,Jacques Zeimet
The King Is Dead,2,4,50,2015,7.15549,https://cf.geekdo-images.com/original/img/srr1vbUCah5j2IKU9modUyUpeQQ=/0x0/pic2402804.jpg,12,"Medieval, Political",Peer Sylvester
Unearth,2,4,60,2017,7.04491,https://cf.geekdo-images.com/original/img/XWIq4HzCPMIu3L7IR1XFCmXcK-8=/0x0/pic3579391.jpg,8,"Card Game, Dice, Exploration","Jason Harner, Matthew Ransom"
Magnum Sal,2,4,90,2010,7.02666,https://cf.geekdo-images.com/original/img/N563J5X0JbW6wTPlZb595oXOt24=/0x0/pic792062.jpg,10,"Economic, Exploration, Medieval","Marcin Krupiński, Filip Miłuński"
Wendake,1,4,120,2017,7.85101,https://cf.geekdo-images.com/original/img/ELFYhL5N8n-DEqYTf2FF89pqlQU=/0x0/pic4110410.jpg,14,"American Indian Wars, Economic, Farming, Fighting",Danilo Sabia
The Hanging Gardens,2,4,45,2008,6.77656,https://cf.geekdo-images.com/original/img/Th1gFB1_Z3tKPfkWPoZ7cehYgfA=/0x0/pic580143.jpg,8,Ancient,Din Li Tsan
20th Century,3,5,120,2010,6.89823,https://cf.geekdo-images.com/original/img/NnrpfFuQkMIRycXT4ZUz7O3DBqI=/0x0/pic830922.jpg,13,"City Building, Civilization, Economic, Environmental",Vladimír Suchý
Fighting Formations: Grossdeutschland Motorized Infantry Division,2,2,180,2011,7.56921,https://cf.geekdo-images.com/original/img/dZ0pfKg2-cnaAuKw_8tiztXV5x4=/0x0/pic950244.jpg,0,"Wargame, World War II",Chad Jensen
Wasabi!,2,4,45,2008,6.5451,https://cf.geekdo-images.com/original/img/6eYylqy3-rcvxXK3Z46NPbxqXkU=/0x0/pic273575.jpg,10,Territory Building,"Josh Cappel, Adam Gertzbein"
Cockroach Poker,2,6,20,2004,6.53198,https://cf.geekdo-images.com/original/img/YLG4YkXZm51tI21UoykSUp9VLGo=/0x0/pic3218988.jpg,8,"Bluffing, Card Game, Party Game",Jacques Zeimet
Carrom,2,4,60,0,7.01798,https://cf.geekdo-images.com/original/img/tmjr9ybM-lbMG4hVn6S2AlxpMME=/0x0/pic497641.jpg,6,Action / Dexterity,(Uncredited)
Werewolf,8,24,60,1986,6.60361,https://cf.geekdo-images.com/original/img/W3Xysl_hnwxO7wrg8llaMfbDkRE=/0x0/pic2453810.jpg,8,"Bluffing, Deduction, Horror, Murder/Mystery, Negotiation, Party Game","Dimitry Davidoff, Andrew Plotkin"
The Climbers,2,5,45,2008,6.90346,https://cf.geekdo-images.com/original/img/3myYCAiDcP5BP8Cencs6i5f4aYE=/0x0/pic3582920.jpg,8,"Abstract Strategy, Racing",Holger Lanz
My First Carcassonne,2,4,20,2009,6.75612,https://cf.geekdo-images.com/original/img/Qzl192HZPCsgAcAaACJ72zMqyKA=/0x0/pic1971215.png,4,"Children's Game, Medieval",Marco Teubner
Zombie 15',2,4,15,2014,6.94595,https://cf.geekdo-images.com/original/img/xd-YsIsW7PGYk3XqX22T3ZBHwKE=/0x0/pic2138386.jpg,14,"Fighting, Real-time, Zombies","Guillaume Lémery, Nicolas Schlewitz"
1870: Railroading across the Trans Mississippi from 1870,2,6,360,1992,7.43738,https://cf.geekdo-images.com/original/img/gkwVFC7Hn9RAN3KBdOd6ElS_CsI=/0x0/pic159312.jpg,14,"Economic, Trains",Bill Dixon
Police Precinct,1,6,90,2013,6.9963,https://cf.geekdo-images.com/original/img/XE8Eo84SfGyhiDGX7_ga2oa47eo=/0x0/pic3101848.jpg,13,"Bluffing, Deduction, Murder/Mystery, Negotiation",Ole Steiness
Bonaparte at Marengo,2,2,120,2005,7.39579,https://cf.geekdo-images.com/original/img/E91R7WHGvq_FbXjk8-idTkn0qvs=/0x0/pic289180.jpg,12,"Napoleonic, Wargame",Bowen Simmons
Dragon Castle,2,4,45,2017,7.45148,https://cf.geekdo-images.com/original/img/RPDvrOySvpdePpC3LvxMGVx0gDg=/0x0/pic3683059.png,8,Abstract Strategy,"Hjalmar Hach, Luca Ricci, Lorenzo Silva"
Covert,2,4,90,2016,7.29917,https://cf.geekdo-images.com/original/img/x3hyOEguZAdBtzXJfYKkRMl_6H4=/0x0/pic2744644.jpg,10,"Card Game, Dice, Spies/Secret Agents",Kane Klenko
Battle Sheep,2,4,15,2010,6.71913,https://cf.geekdo-images.com/original/img/mChWG7S6cqkr3jG7R5NZEJS6dqw=/0x0/pic1887253.jpg,7,"Abstract Strategy, Animals",Francesco Rotta
League of Six,3,5,120,2007,6.82606,https://cf.geekdo-images.com/original/img/pYRF7jHCDcdqTfFTFCr6JxogrNM=/0x0/pic273655.jpg,12,Medieval,Vladimír Suchý
Hoity Toity,2,6,45,1990,6.53561,https://cf.geekdo-images.com/original/img/G_vjnCyMqXKY-AMMkp9AkpsD6d4=/0x0/pic38466.jpg,12,Bluffing,Klaus Teuber
Oltre Mare,2,5,60,2004,6.67592,https://cf.geekdo-images.com/original/img/wz3znqOOUSWcBw3xiw-_jpQMQ5A=/0x0/pic89789.jpg,12,"Bluffing, Card Game, Nautical, Negotiation, Pirates",Emanuele Ornella
Frank's Zoo,3,7,60,1999,6.6213,https://cf.geekdo-images.com/original/img/djR4DEWDRmvh5AFxJkrrPvPvkZo=/0x0/pic197395.jpg,10,"Animals, Card Game","Doris Matthäus, Frank Nestel"
Field Commander: Napoleon,1,1,180,2011,7.74001,https://cf.geekdo-images.com/original/img/mF755TplQGbA5qiHmZZcK7eNzoA=/0x0/pic1063957.jpg,12,"Napoleonic, Wargame",Dan Verssen
Isla Dorada,3,6,60,2010,6.75108,https://cf.geekdo-images.com/original/img/d6VseItbJ4xrDrz5BV_mBSFsRGg=/0x0/pic774632.jpg,10,"Adventure, Exploration, Negotiation","Andrea Angiolino, Bruno Faidutti, Alan R. Moon, Pier Giorgio Paglia"
Nyet!,2,5,30,1997,6.84503,https://cf.geekdo-images.com/original/img/uTYA4nuwVQ86rLEdfCsRKQdVJ1w=/0x0/pic2592080.jpg,10,Card Game,Stefan Dorra
Dawn of the Zeds (Second edition),1,1,90,2013,7.9397,https://cf.geekdo-images.com/original/img/A4gmhw9MOQYC0rWW1PvKyucKzFY=/0x0/pic1705435.jpg,13,"Horror, Zombies",Hermann Luttmann
Qwinto,2,6,15,2015,7.13476,https://cf.geekdo-images.com/original/img/r2cYGFjh9isDW6q8_XaL-sWlULo=/0x0/pic2668704.jpg,8,"Dice, Number","Bernhard Lach, Uwe Rapp"
Smash Up: Cease and Desist,2,2,45,2016,7.60445,https://cf.geekdo-images.com/original/img/Fdc8s8Y17HHP8nCAfv4MuZkSrGE=/0x0/pic3261056.jpg,0,"Card Game, Fantasy",Paul Peterson
IKI,2,4,90,2015,7.56791,https://cf.geekdo-images.com/original/img/C40_65IQMTTfLmWKLZbr1J1lBX4=/0x0/pic2515239.jpg,14,Medieval,Koota Yamada
Marrakech,2,4,30,2007,6.70358,https://cf.geekdo-images.com/original/img/tdprwSsO3e5Rgnk22aTDKgLhK0A=/0x0/pic3488227.jpg,6,Arabian,Dominique Ehrhard
Yunnan,2,5,90,2013,7.15251,https://cf.geekdo-images.com/original/img/YlBj-5LCK70PrxAXNNZK2_598Pw=/0x0/pic1783522.jpg,12,"Ancient, Economic, Transportation",Aaron Haag
Victory in the Pacific,2,2,300,1977,7.18112,https://cf.geekdo-images.com/original/img/zqUtMbdas-a0hpNfKRjnrdHIFfU=/0x0/pic188896.jpg,12,"Nautical, Wargame, World War II",Richard Hamblen
Snake Oil,3,10,30,2010,6.77611,https://cf.geekdo-images.com/original/img/kmIqMbb30xg2w5yMt-Q9HMF6uRM=/0x0/pic1633160.jpg,10,"Card Game, Humor, Party Game",Jeff Ochs
SET,2,20,30,1988,6.4837,https://cf.geekdo-images.com/original/img/XglXKFE5mejlJzxVkOkSTIiK4Mc=/0x0/pic73045.jpg,6,"Card Game, Puzzle, Real-time",Marsha J. Falco
Normandy '44,2,4,420,2010,7.86568,https://cf.geekdo-images.com/original/img/yzxGxc2E1KD5Y613DKed8wFIO1c=/0x0/pic766300.jpg,0,"Wargame, World War II",Mark Simonitch
Valdora,3,5,60,2009,6.82786,https://cf.geekdo-images.com/original/img/-S8EGn7OEdh2lzkTxGUrpWjPDAs=/0x0/pic443834.jpg,10,"Fantasy, Medieval, Transportation",Michael Schacht
Palastgeflüster,3,5,45,2007,6.79485,https://cf.geekdo-images.com/original/img/hYOsIohDm3UHT4wp_exvKcO_PCQ=/0x0/pic2740759.jpg,10,"Bluffing, Card Game, Medieval",Michael Rieneck
World War II: Barbarossa to Berlin,2,2,420,2002,7.24677,https://cf.geekdo-images.com/original/img/COfRoLjZx6zLbKvxTYD9caaEpC8=/0x0/pic152334.jpg,14,"Wargame, World War II",Ted Raicer
Kolejka,2,5,60,2011,6.76997,https://cf.geekdo-images.com/original/img/Fod_6jV0PQdNmg0PvV2C8QKesK0=/0x0/pic928373.jpg,12,"Economic, Educational",Karol Madaj
Riff Raff,2,4,30,2012,6.96924,https://cf.geekdo-images.com/original/img/t7Sh1nZ-XLciet5YHjNTOmeFsmA=/0x0/pic1214056.jpg,8,"Action / Dexterity, Party Game, Pirates",Christoph Cantzler
B-17: Queen of the Skies,1,2,20,1981,6.99623,https://cf.geekdo-images.com/original/img/delzy7Cn-Q92X9WBt1dnY3M134Q=/0x0/pic44389.jpg,12,"Aviation / Flight, Wargame, World War II","Glen Frank, Bruce Shelley"
Il Vecchio,2,4,60,2012,6.96161,https://cf.geekdo-images.com/original/img/lBl63hkWXWzOd7MKH41hbQQvP-A=/0x0/pic1377591.jpg,10,"Religious, Renaissance",Rüdiger Dorn
Campaign Manager 2008,2,2,50,2009,6.67914,https://cf.geekdo-images.com/original/img/3j3oZ-US8q--1lpluL2TL9SINgY=/0x0/pic565079.jpg,10,"Card Game, Educational, Political","Christian Leonhard, Jason Matthews"
Sylla,2,4,90,2008,6.77885,https://cf.geekdo-images.com/original/img/9c8vRzNPT_DjzpaaX5vaXg7dHyI=/0x0/pic324935.jpg,12,Ancient,Dominique Ehrhard
New Amsterdam,2,5,90,2012,7.11205,https://cf.geekdo-images.com/original/img/gasAxVgxp55z36v10wDxLYtReuQ=/0x0/pic1781109.jpg,12,"Economic, Renaissance",Jeffrey D. Allers
Adventure Land,2,4,45,2015,7.01347,https://cf.geekdo-images.com/original/img/TjHHm0reKqqhMw76TvaMBNFjL9M=/0x0/pic2958289.jpg,10,Fantasy,"Michael Kiesling, Wolfgang Kramer"
Harbour,1,4,60,2015,6.58705,https://cf.geekdo-images.com/original/img/1tMfooUcOb5kGfmXAAewJs-YVgs=/0x0/pic2726915.jpg,8,"City Building, Economic, Fantasy, Humor",Scott Almes
"Edel, Stein & Reich",3,5,60,2003,6.9297,https://cf.geekdo-images.com/original/img/WQUrtMeG6nPlueFoahLJhDygc6c=/0x0/pic158572.jpg,9,"Bluffing, Card Game, Negotiation",Reinhard Staupe
Treasure Hunter,2,6,40,2015,6.81093,https://cf.geekdo-images.com/original/img/WG1myo6dvUki-Yt1WOM9qY5zVSw=/0x0/pic2632365.jpg,8,"Adventure, Card Game, Fantasy",Richard Garfield
Funkenschlag,2,6,180,2001,7.57159,https://cf.geekdo-images.com/original/img/VWdn3G0FYhRxkEicBoVtoCGajv0=/0x0/pic186713.jpg,12,"Economic, Industry / Manufacturing",Friedemann Friese
Lifeboats,3,6,90,1993,6.5976,https://cf.geekdo-images.com/original/img/CyT6AYwanmiOR5IJbZQxMmVNxEs=/0x0/pic166390.jpg,12,"Nautical, Negotiation",Ronald Wettering
Richard III: The Wars of the Roses,2,2,120,2009,7.43946,https://cf.geekdo-images.com/original/img/J8ErXB-t-n4iDBDvn1J-cI6Uol8=/0x0/pic566305.jpg,12,"Civil War, Medieval, Wargame","Tom Dalgliesh, Jerry Taylor"
The Red Dragon Inn 3,2,4,60,2011,7.18903,https://cf.geekdo-images.com/original/img/CQDq6TDJFf6j-Va3hMpYM7Yfn7M=/0x0/pic1022815.jpg,13,"Card Game, Fantasy, Humor, Medieval, Party Game","Cliff Bohm, Geoff Bottone, Jeff Morrow"
Whitehall Mystery,2,4,60,2017,7.86079,https://cf.geekdo-images.com/original/img/bhtGBLdNkAVUlx4EwklG9GCO3Nw=/0x0/pic3360633.jpg,13,"Bluffing, Deduction, Memory, Murder/Mystery","Gabriele Mari, Gianluca Santopietro"
La Granja: No Siesta,1,4,45,2016,6.99119,https://cf.geekdo-images.com/original/img/szgclayx18gbyU05eBMcxOto_6s=/0x0/pic3051552.png,10,"Dice, Farming","Andreas ""ode."" Odendahl"
Mall of Horror,3,6,60,2005,6.65103,https://cf.geekdo-images.com/original/img/teu7N41TRjWOuOceP-78e9c2qp8=/0x0/pic347555.jpg,14,"Horror, Negotiation, Zombies",Nicolas Normandon
Samarkand: Routes to Riches,2,5,45,2010,6.91233,https://cf.geekdo-images.com/original/img/y5L1PrvQFoecoU3Se4VKFVkjs2o=/0x0/pic742553.jpg,8,"Economic, Transportation","David V. H. Peters, Harry Wu"
Razzia!,2,5,45,2004,6.81907,https://cf.geekdo-images.com/original/img/2CXqU6I-abvsXXjTIraWxxBEtUU=/0x0/pic51968.jpg,12,"Card Game, Mafia",Reiner Knizia
High Frontier (3rd edition),1,5,240,2017,8.57038,https://cf.geekdo-images.com/original/img/Azz6zHa_ziNtA8ALgcLzxv95btk=/0x0/pic3587093.jpg,14,"Civilization, Industry / Manufacturing, Science Fiction, Space Exploration",Phil Eklund
Crusader Rex,2,2,180,2005,7.1668,https://cf.geekdo-images.com/original/img/VzGXhl6SMkGl704HrbB3azqkWjY=/0x0/pic1096223.jpg,12,"Arabian, Medieval, Wargame","Tom Dalgliesh, Jerry Taylor"
Horse Fever,2,6,90,2009,7.02443,https://cf.geekdo-images.com/original/img/kgEB6Fy-yVtNBdoMX3biPZXifdg=/0x0/pic949941.jpg,10,"Animals, Party Game, Racing","Lorenzo Silva, Lorenzo Tucci Sorrentino"
Android: Infiltration,2,6,45,2012,6.60082,https://cf.geekdo-images.com/original/img/U5dyO7nb5MicMnDPQO_GhPbTQys=/0x0/pic1207030.jpg,14,"Card Game, Exploration, Science Fiction, Spies/Secret Agents",Donald X. Vaccarino
Warsaw: City of Ruins,2,4,60,2016,7.47854,https://cf.geekdo-images.com/original/img/CoMKc8qS7TBJLNGUjdMq-JOUTvM=/0x0/pic4155728.jpg,10,"City Building, Economic",Filip Miłuński
Ghost Fightin' Treasure Hunters,2,4,30,2013,7.16633,https://cf.geekdo-images.com/original/img/odN1zedpn6gkmHkR6DLnvamd7EE=/0x0/pic3518338.jpg,8,"Adventure, Children's Game, Fantasy",Brian Yu
Alea Iacta Est,2,5,60,2009,6.64571,https://cf.geekdo-images.com/original/img/WSRudWRsv3uitgCpas9ecMhwSGc=/0x0/pic1218804.jpg,9,"Ancient, Dice","Jeffrey D. Allers, Bernd Eisenstein"
Star Trek Panic,1,6,90,2016,7.19068,https://cf.geekdo-images.com/original/img/LB5sNdoZydfo5GfKEcuQMcNlugo=/0x0/pic2887923.jpg,13,"Movies / TV / Radio theme, Science Fiction",Justin De Witt
Mythotopia,2,4,120,2014,6.94909,https://cf.geekdo-images.com/original/img/p6mECzXEcjzZkPnK6JvxqHeR4mg=/0x0/pic2257592.jpg,13,"Card Game, Fantasy, Medieval, Mythology, Territory Building, Wargame",Martin Wallace
Bloodborne: The Card Game,3,5,45,2016,6.98811,https://cf.geekdo-images.com/original/img/wY_CVe06xKmAimYiQN0RKRL2eM8=/0x0/pic3297526.jpg,14,"Card Game, Fantasy, Horror, Video Game Theme",Eric M. Lang
1944: Race to the Rhine,1,3,90,2014,7.36089,https://cf.geekdo-images.com/original/img/CXtU6aHQyllOIkv8i1CZ-YlAcDI=/0x0/pic2014460.png,14,"Racing, Transportation, Wargame, World War II","Jaro Andruszkiewicz, Waldek Gumienny"
You're Bluffing!,3,5,45,1985,6.62746,https://cf.geekdo-images.com/original/img/6JpL03TOx2lAbAapS12kGjgzN8Y=/0x0/pic1068602.jpg,10,"Animals, Bluffing, Card Game, Humor",Rüdiger Koltze
Time's Up! Edición Azul,4,12,45,2006,7.27199,https://cf.geekdo-images.com/original/img/S_10ZKKw9bwVF0-V3TJQWrWvkY8=/0x0/pic578482.jpg,12,"Humor, Movies / TV / Radio theme, Party Game",Peter Sarrett
Oasis,3,5,60,2004,6.72696,https://cf.geekdo-images.com/original/img/UQit2--htbX38k6z6au_rADA_Oc=/0x0/pic154034.jpg,10,"Animals, Territory Building","Alan R. Moon, Aaron Weissblum"
Conquest of Planet Earth: The Space Alien Game,1,4,60,2010,6.92882,https://cf.geekdo-images.com/original/img/6hOE9CNek2iQ9Mo-otwS2Pz3v64=/0x0/pic796619.jpg,12,"Horror, Miniatures, Science Fiction",Jason C. Hill
Qin,2,4,30,2012,6.80797,https://cf.geekdo-images.com/original/img/u9dTtDSL1SK8IU4UU6bSi4mAGRA=/0x0/pic1405247.jpg,8,"Abstract Strategy, Ancient, Territory Building",Reiner Knizia
The Lord of the Ice Garden,1,4,90,2014,7.70104,https://cf.geekdo-images.com/original/img/tE36upKnwCA6lCqsmc-zEuwRoTQ=/0x0/pic2003559.jpg,14,"Fantasy, Fighting, Medieval, Mythology, Science Fiction",Krzysztof Wolicki
OddVille,2,4,45,2012,6.88536,https://cf.geekdo-images.com/original/img/s80Wp-dPbpEVAEuZDBfwfwxkfqM=/0x0/pic1358373.jpg,10,"Card Game, City Building, Fantasy",Carlo Lavezzi
1889: History of Shikoku Railways,2,6,210,2005,8.03124,https://cf.geekdo-images.com/original/img/Wunae9QFP0kNL2DhA1YSeSOn1wY=/0x0/pic730152.jpg,14,"Economic, Trains, Transportation",Yasutaka Ikeda
Urban Sprawl,2,4,180,2011,6.76332,https://cf.geekdo-images.com/original/img/zLm4Ew5DeJz69hX-YP8pclw6dx0=/0x0/pic1114652.jpg,12,"City Building, Economic",Chad Jensen
El Capitán,2,5,90,2007,6.82202,https://cf.geekdo-images.com/original/img/amKNdyxRj07o5F2_DUKVEDeMUew=/0x0/pic218443.jpg,12,"Economic, Renaissance, Travel","Wolfgang Kramer, Horst-Rainer Rösner"
Holmes: Sherlock & Mycroft,2,2,30,2015,7.00469,https://cf.geekdo-images.com/original/img/Lq6kPFQbCPTGlMICW8_eAAexpuk=/0x0/pic2431481.jpg,10,"Card Game, Novel-based",Diego Ibañez
Castellion,1,2,30,2015,7.05559,https://cf.geekdo-images.com/original/img/WemDMGQbmEekDn4UsW2c1A4rw3k=/0x0/pic2682875.png,10,"Fantasy, Puzzle",Shadi Torbey
New York Slice,2,6,30,2017,6.9024,https://cf.geekdo-images.com/original/img/csF9uMz1zj9_YG8jNsRfoYScp7E=/0x0/pic3211823.jpg,8,Party Game,Jeffrey D. Allers
Mafia de Cuba,6,12,20,2015,6.67126,https://cf.geekdo-images.com/original/img/IEs6eQ3fnK3y_syC2vgVSjY3aIU=/0x0/pic2519675.jpg,10,"Bluffing, Deduction, Mafia, Party Game","Philippe des Pallières, Loïc Lamy"
Samurai Sword,3,7,40,2012,6.70602,https://cf.geekdo-images.com/original/img/zp63__m60TlpGFgC72iODy8yfbU=/0x0/pic1531841.jpg,8,"Bluffing, Card Game, Deduction, Fighting, Medieval",Emiliano Sciarra
Epic Spell Wars of the Battle Wizards: Duel at Mt. Skullzfyre,2,6,30,2012,6.6015,https://cf.geekdo-images.com/original/img/T0PWZLfXOtJMAfZD7kAiD6xsDZE=/0x0/pic1170265.jpg,15,"Fantasy, Fighting, Humor","Rob Heinsoo, Cory Jones"
Revolution: The Dutch Revolt 1568-1648,2,5,480,2004,7.33566,https://cf.geekdo-images.com/original/img/Ldz5Y0cQWB6mMlqqQTye-9B6nFY=/0x0/pic54565.jpg,12,"Political, Renaissance, Wargame",Francis Tresham
FITS,1,4,45,2009,6.60177,https://cf.geekdo-images.com/original/img/-si1JCbrMqHRB9egdhaVKiY5Zn4=/0x0/pic422822.jpg,8,"Abstract Strategy, Puzzle",Reiner Knizia
Mamma Mia!,2,5,30,1998,6.48425,https://cf.geekdo-images.com/original/img/6cIB9eeKT0uLtv-n456t8aKIvfM=/0x0/pic2824027.jpg,10,Card Game,Uwe Rosenberg
DungeonQuest (third edition),1,4,90,2010,6.65038,https://cf.geekdo-images.com/original/img/to2fPW5OSjtT_FRT6KDweoTiom4=/0x0/pic750582.jpg,13,"Adventure, Exploration, Fantasy, Fighting",Jakob Bonds
Sails of Glory,2,4,45,2013,7.54934,https://cf.geekdo-images.com/original/img/dB2wnqWIC6b5nqW71mf3NypUdtQ=/0x0/pic1595302.jpg,13,"American Revolutionary War, Miniatures, Napoleonic, Nautical, Wargame","Andrea Angiolino, Andrea Mainini"
Carcassonne: Gold Rush,2,5,35,2014,7.19738,https://cf.geekdo-images.com/original/img/YasGE5zCKyZZ1jelvu1owH213Lo=/0x0/pic2227130.png,8,American West,Klaus-Jürgen Wrede
Sanssouci,2,4,45,2013,7.11947,https://cf.geekdo-images.com/original/img/J-AN7OVXtshV8_DcgI22Y6FQOXQ=/0x0/pic1752634.jpg,8,Age of Reason,Michael Kiesling
Once Upon a Time: The Storytelling Card Game,2,6,30,1993,6.46207,https://cf.geekdo-images.com/original/img/dKbdYTZT6_vQbqpV-PBQ1xrVTSE=/0x0/pic1494028.jpg,8,"Card Game, Humor, Party Game, Real-time","Richard Lambert, Andrew Rilstone, James Wallis"
Lotus,2,4,30,2016,6.8721,https://cf.geekdo-images.com/original/img/BER0WFortPUEsScfWss7IU0Rn_4=/0x0/pic3068462.jpg,8,Card Game,"Jordan Goddard, Mandy Goddard"
Lost Legacy: The Starship,2,4,10,2014,6.6881,https://cf.geekdo-images.com/original/img/zj_VLLWReGH1O8iIRUWiTPUaETA=/0x0/pic1998162.jpg,10,"Bluffing, Card Game, Deduction, Science Fiction","Seiji Kanai, Hayato Kisaragi"
The Napoleonic Wars (Second Edition),2,5,240,2008,7.45475,https://cf.geekdo-images.com/original/img/aTJEsjRQSmHG7PxC5p2Pf9eQ0CI=/0x0/pic1445591.jpg,0,"Napoleonic, Wargame",Mark McLaughlin
Ta Yü,2,4,45,1999,6.96596,https://cf.geekdo-images.com/original/img/x29dUB3COK4xSjO2_2ZfdeXB1D0=/0x0/pic240949.jpg,10,Abstract Strategy,Niek Neuwahl
EastFront II,2,2,240,2006,8.02458,https://cf.geekdo-images.com/original/img/uj526I31GzeVd4c7JbjjGjd-5p8=/0x0/pic291046.jpg,12,"Wargame, World War II","Craig Besinque, Tom Dalgliesh"
Cube Quest,2,2,15,2013,6.86133,https://cf.geekdo-images.com/original/img/05HqexY42qnBEt3u95MqTe7Dkno=/0x0/pic1548855.jpg,8,"Action / Dexterity, Dice, Fighting","Oliver Sibthorpe, Gary Sibthorpe"
Guildhall: Job Faire,2,4,45,2013,7.20232,https://cf.geekdo-images.com/original/img/74M3mQx69eOH15nKIGbAi6dD6gQ=/0x0/pic1645916.jpg,10,"Card Game, Medieval",Hope S. Hwang
DungeonQuest,1,4,60,1985,6.69501,https://cf.geekdo-images.com/original/img/2LnjD7_Sb6Rim4bCnFULJgZiwvI=/0x0/pic184398.jpg,10,"Adventure, Exploration, Fantasy","Jakob Bonds, Dan Glimne"
